"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"ALBA LEASING SPA";"Financial Services";"649100";"";"Lombardia";"SI";"DNF-Volontaria";"DNF";"Report-separato";"50";"0";"6";"20";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Lista";"No";"No";"No";"No";"N.R.";"435";"111";"8";"";"141";"7247";"";"";"";"2";"2";"";"No";"No";"No";"169";"122";"0";"25";"95";"50";"3";"45";"52";"54";"0";"29";"71";"28.pdf";"AlbaLeasing_BS2019_17042020_web.pdf"
"ALIA";"Utilities";"382000";"";"Toscana";"SI";"Altro-EIPR-obbligato";"Report-di-Sostenibilita";"Report-separato";"183";"7";"54";"53";"6";"No";"No";"No";"Si";"Si (2017-2018)";"No";"Si";"Si";"Si";"Si";"Si";"Referenced";"";"";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey";"13085";"";"";"0";"";"635749";"148913";"";"";"983105";"6";"";"No";"No";"No";"1707";"578";"60";"21";"99";"50";"2";"47";"51";"48";"0";"60";"40";"29.pdf";"ALIA-BDS.pdf"
"ALKEMY SPA";"Services";"702209";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"64";"1";"3";"10";"3";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"No";"Referenced";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey";"55";"80";"109";"";"";"1612";"";"";"";"";"0";"";"No";"No";"No";"265";"261";"33";"32";"";"36";"35";"59";"6";"47";"0";"67";"33";"30.pdf";"Alkemy_Dichiarazione-consolidata-di-carattere-non-finanziario-2019.pdf"
"ALPERIA";"Energy";"701000";"";"Trentino-Alto Adige";"SI";"Altro-EIPR-obbligato";"Report-di-Sostenibilita";"Report-separato";"166";"19";"30";"30";"8";"No";"No";"Si";"No";"Si (2016-2018)";"Si";"Si";"Si";"Si";"Si";"Si";"Core";"";"";"Si";"Si";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey";"52709";"122978";"127749";"";"32096";"3544000";"";"";"";"";"125";"";"No";"No";"No";"787";"230";"50";"19";"88";"41";"23";"55";"22";"";"";"";"";"57.pdf";"bilancio_di_sostenibilita___alperia_2019.pdf"
"AMPLIFON";"Healthcare and Pharma";"477400";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"104";"4";"3";"26";"5";"Si";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"6279";"10870";"6972";"";"4871";"92740";"";"";"";"415";"2";"";"No";"No";"No";"3141";"7854";"33";"34";"";"41";"23";"55";"22";"61";"0";"0";"100";"94.pdf";"Dichiarazione-Non-Fin-2019.pdf"
"AQUAFIL";"Services";"829999";"";"Trentino-Alto Adige";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"74";"6";"14";"18";"6";"Si";"No";"Si";"No";"Si (2016-2018)";"No";"No";"No";"No";"No";"No";"Core";"UN Global Compact";"UN_GC";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"8244";"2956";"3943";"";"";"178508";"3119176";"";"";"868";"18";"";"No";"No";"No";"1994";"899";"33";"15";"91";"";"";"";"";"56";"11";"0";"89";"63.pdf";"bilanci_2019-656.pdf"
"ARNOLDO MONDADORI EDITORE";"Media and Publishing";"581000";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"71";"2";"18";"30";"4";"Si";"No";"No";"No";"Si (2016-2018)";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"N.R.";"848";"4617";"6266";"";"5967";"62538";"";"";"";"266";"6";"";"No";"No";"No";"767";"1251";"36";"24";"";"47";"3";"59";"38";"59";"0";"7";"93";"91.pdf";"Dichiarazione-consolidata-di-carattere-non-finanziario-2019.pdf"
"ASCOPIAVE";"Services";"701000";"";"Veneto";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"57";"6";"11";"14";"3";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"5192";"977";"1361";"";"";"100351";"";"";"";"253";"16";"8";"No";"No";"No";"376";"105";"36";"15";"";"47";"3";"59";"38";"59";"0";"7";"93";"32.pdf";"Ascopiave_Relazione_finanziaria_annuale_31_dicembre_2019_punto_1_OdG_Ass-Ordinaria.pdf"
"ASSICURAZIONI GENERALI";"Financial Services";"651100";"";"Friuli-Venezia Giulia";"SI";"Servizi-Finanziari";"Report-Integrato";"Incluso-nella-Relazione-sulla-Gestione";"35";"10";"7";"9";"6";"Si";"Si";"No";"No";"Si (2017-2018)";"Si";"No";"No";"Si";"No";"Si";"Referenced";"IR Framework";"IR";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"No";"Survey";"";"";"";"";"";"";"";"";"";"";"";"";"No";"No";"No";"34801";"35933";"38";"";"";"";"";"";"";"60";"0";"8";"92";"177.pdf";"Relazione Annuale Integrata e Bilancio Consolidato 2019_Gruppo Generali_finale.pdf"
"ASTALDI";"Construction and Engineering";"421100";"";"Lazio";"NO";"DNF-Volontaria";"DNF";"Report-separato";"62";"11";"8";"17";"4";"Si";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Workshop Multi-STK";"41677";"";"";"63543";"25739";"1109374";"3469881";"";"";"";"24";"";"No";"No";"No";"3752";"561";"33";"8";"";"50";"10";"32";"58";"";"";"";"";"33.pdf";"astaldi_-_dnf_2019.pdf"
