"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"BANCA MONTE DEI PASCHI DI SIENA SPA";"Banks";"641910";"";"Toscana";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"166";"3";"17";"28";"13";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"12829";"39594";"0";"";"6722";"842530";"";"";"";"21";"2";"33";"No";"No";"No";"10739";"11075";"36";"14";"93";"49";"1";"53";"46";"57";"0";"14";"86";"207.pdf";"_static_upload_dic_dichiarazione_non_finanziaria_consolidata__20191.pdf"
"BANCA NAZIONALE DEL LAVORO SPA";"Banks";"641910";"";"Lazio";"SI";"Servizi-Finanziari";"Report-di-Sostenibilita";"Report-separato";"91";"14";"6";"14";"3";"No";"No";"No";"No";"Si (2018)";"Si";"No";"Si";"Si";"No";"Si";"Core";"UN Global Compact";"UN_GC";"No";"No";"No";"Lista";"Si";"Si";"Si";"No";"Survey; Workshop Mono-STK";"9932";"";"";"23760";"";"446527";"";"";"";"972";"3";"25";"No";"No";"No";"6518";"5914";"8";"29";"90";"49";"3";"50";"47";"60";"0";"0";"100";"64.pdf";"BNL_Report Sost 2019_ITA_acc.pdf"
"BANCA POPOLARE DELL ALTO ADIGE";"Banks";"641910";"";"Trentino-Alto Adige";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"53";"5";"5";"17";"5";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"1061";"2007";"29";"";"";"44010";"";"139609";"";"25";"2";"";"No";"No";"No";"720";"558";"18";"19";"";"47";"3";"62";"35";"51";"0";"45";"55";"16.pdf";"20191231-DNF.pdf"
"BANCA POPOLARE DI SONDRIO";"Banks";"641910";"";"Lombardia";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"129";"20";"8";"52";"1";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"4433";"5894";"241";"";"3901";"129935";"149971";"";"";"509";"3";"27";"No";"No";"No";"2541";"738";"30";"9";"80";"42";"15";"62";"23";"59";"0";"5";"95";"66.pdf";"BPS_DNF_2020_05_21_DEF.pdf"
"BANCA POPOLARE DI PUGLIA E BASILICATA";"Banks";"641910";"";"Puglia";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"76";"9";"4";"32";"3";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"No";"Survey";"328";"";"";"";"";"22293";"";"";"";"";"0";"27";"No";"No";"No";"663";"375";"11";"24";"89";"49";"0";"52";"47";"56";"0";"33";"67";"120.pdf";"DNF_BPPB_2019.pdf"
"BANCA POPOLARE PUGLIESE";"Banks";"641910";"";"Puglia";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"106";"10";"7";"43";"2";"No";"No";"Si";"Si";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"207";"";"";"";"";"23542";"14005";"";"";"36";"";"23";"No";"No";"No";"520";"297";"6";"24";"94";"51";"0";"46";"54";"56";"0";"19";"81";"83.pdf";"Dichiarazione Consolidata 2019_compatta.pdf"
"BANCA SELLA";"Banks";"641910";"";"Piemonte";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"99";"5";"4";"38";"3";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"No";"No";"Survey; Workshop Mono-STK";"1707";"6840";"787";"";"";"98215";"";"";"";"";"2";"23";"No";"No";"No";"2391";"2256";"23";"30";"89";"42";"15";"64";"21";"55";"0";"23";"77";"135.pdf";"GBS_DNF2019_22_05_2020.pdf"
"BANCA VALSABBINA";"Banks";"641910";"";"Lombardia";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"41";"7";"3";"13";"3";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Entrambi";"No";"No";"No";"No";"N.R.";"400";"";"";"970";"";"12437";"";"";"";"";"2";"24";"No";"No";"No";"432";"202";"10";"26";"";"42";"7";"75";"18";"60";"0";"0";"100";"38.pdf";"Banca-Valsabbina_DNF-2019.pdf"
"BANCO BPM";"Banks";"641910";"";"Lombardia";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"106";"14";"10";"22";"4";"No";"No";"No";"Si";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Matrice";"No";"No";"No";"No";"N.R.";"12473";"39260";"4742";"";"";"727917";"";"";"";"";"2";"15";"No";"No";"No";"12100";"9838";"35";"14";"94";"47";"4";"58";"38";"55";"0";"24";"76";"101.pdf";"Dichiarazione_consolidata_di_carattere_non_finanziario_2019.pdf"
"BANCO DI DESIO E DELLA BRIANZA";"Banks";"641910";"";"Lombardia";"SI";"Servizi-Finanziari";"Report-di-Sostenibilita";"Report-separato";"172";"13";"24";"50";"13";"Si";"No";"Si";"No";"Si (2017-2018)";"Si";"Si";"Si";"Si";"Si";"Si";"Core";"";"";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1499";"3544";"";"";"540";"68923";"";"";"";"144";"2";"20";"No";"No";"No";"1327";"871";"33";"27";"92";"47";"2";"61";"37";"57";"0";"17";"83";"119.pdf";"dnf_2019_banco_desio_1.pdf"
"BASIC NET";"Services";"774000";"";"Piemonte";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"72";"2";"5";"15";"35";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Core";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"N.R.";"783";"1822";"2439";"";"";"30929";"";"";"";"73";"3";"";"No";"No";"No";"301";"514";"38";"28";"";"38";"33";"53";"14";"51";"0";"43";"57";"56.pdf";"Bilancio_BasicNet_2019_ass_26_6.pdf"
"BE SHAPING THE FUTURE SPA (ex BE THINK, SOLVE, EXECUTE SPA/Gruppo Be)";"Services";"	642000";"";"Lazio";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"51";"2";"5";"17";"4";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"";"320";"450";"";"";"3081";"";"";"";"";"0";"41";"No";"No";"No";"871";"449";"";"16";"96";"40";"25";"58";"17";"";"";"";"";"17.pdf";"2019_Be_Dichiarazione-consolidata-di-carattere-non-finanziario-del-Gruppo-Be.pdf"
"BEGHELLI";"Electronics";"279009";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"64";"5";"6";"19";"8";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Non Specificata";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Workshop Mono-STK";"2601";"3557";"4322";"";"";"79299";"";"";"";"784";"5";"41";"No";"No";"No";"195";"230";"33";"24";"";"48";"1";"60";"39";"54";"0";"33";"67";"89.pdf";"Dichiarazione non finanziaria al 31.12.2019.pdf"
"BENETTON GROUP";"Textile";"469000";"";"Veneto";"NO";"DNF-Volontaria";"Report-Integrato";"Report-separato";"127";"4";"12";"20";"4";"Si";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"IR Framework";"IR";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"4087";"22843";"18066";"";"23783";"280032";"";"";"";"2328";"4";"";"No";"No";"No";"1893";"5478";"8";"13";"90";"37";"38";"51";"11";"53";"0";"33";"67";"49.pdf";"Bilancio-Integrato-Benetton-2019.pdf"
"BIANCAMANO";"Utilities";"382109";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"49";"3";"4";"22";"3";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Non Specificata";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"N.R.";"10939";"";"";"476";"";"154283";"";"";"";"";"9";"";"No";"No";"No";"1199";"92";"40";"40";"";"";"";"";"";"55";"0";"25";"75";"84.pdf";"Dichiarazione consolidata di carattere non finanziario 2019.pdf"
"BIESSE SPA";"Machine and Plant";"284000";"";"Marche";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"145";"16";"17";"44";"3";"No";"No";"Si";"No";"No";"No";"No";"No";"No";"No";"No";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"6381";"7634";"9154";"";"";"66464";"76130";"";"";"3040";"4";"";"No";"No";"No";"3418";"508";"50";"13";"";"42";"16";"63";"21";"55";"0";"25";"75";"42.pdf";"BIESSE_bilancio_sostenibilita_2019_ITA.pdf"
"BPER";"Banks";"641910";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"157";"8";"14";"51";"5";"No";"No";"Si";"Si";"Si (2017-2018)";"Si";"No";"Si";"Si";"Si";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"8387";"21934";"3865";"";"1695";"361201";"";"";"";"5444";"2";"22";"No";"No";"No";"7721";"6117";"47";"30";"96";"48";"3";"57";"40";"59";"0";"7";"93";"65.pdf";"BPER_Bilancio di Sostenibilit"
"BREMBO";"Automotive";"293209";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"179";"5";"18";"36";"11";"Si";"No";"No";"No";"Si (2017-2018)";"No";"Si";"Si";"No";"No";"Si";"Core";"UN Global Compact; SASB";"UN_GC_SASB";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"80707";"509850";"404531";"";"990493";"4559230";"";"1260320";"71616";"423866";"54";"63";"No";"No";"No";"9075";"1793";"36";"14";"";"39";"25";"61";"14";"61";"0";"0";"100";"178.pdf";"Relazione di Sostenibilita 2019 ita.pdf"
"BRUNELLO CUCINELLI";"Textile";"143900";"";"Umbria";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"143";"7";"22";"67";"3";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"UN Global Compact; World Economic forum";"UN_GC_WEF";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"N.R.";"1845";"3778";"1999";"";"";"27267";"";"50223000";"";"1109";"3";"50";"No";"No";"No";"708";"1314";"36";"38";"101";"38";"22";"58";"20";"50";"9";"36";"55";"121.pdf";"DNF_FY_2019_(1).pdf"
"BUZZI UNICEM";"Construction and Engineering";"494100";"";"Piemonte";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"79";"3";"10";"12";"5";"Si";"No";"Si";"No";"Si (2017-2018)";"No";"Si";"Si";"Si";"No";"Si";"Core";"";"";"Si";"No";"Si";"Matrice";"Si";"Si";"Si";"Si";"N.R.";"18448321";"";"";"1703718";"";"11060000";"12152256";"2751026";"";"166592";"2048";"";"No";"No";"No";"8414";"1427";"";"12";"";"";"";"";"";"";"";"";"";"67.pdf";"BUZZI_Bilancio di sostenibilita` 2019.pdf"
"CAIRO COMMUNICATION";"Media and Publishing";"731200";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"109";"5";"12";"51";"9";"Si";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"3163";"17349";"23815";"";"4340";"96898";"31614";"";"";"6905";"5";"56";"No";"No";"No";"2208";"1819";"";"37";"89";"";"";"";"";"";"";"";"";"100.pdf";"Dichiarazione_consolidata_di_carattere_non_finanziario2019.pdf"
"CALTAGIRONE";"Construction and Engineering";"701000";"";"Lazio";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"71";"5";"24";"18";"3";"Si";"No";"No";"No";"Si (2017-2018)";"No";"Si";"Si";"Si";"No";"Si";"Referenced";"";"";"No";"No";"No";"Lista";"No";"No";"No";"No";"N.R.";"7161850";"";"";"630114";"";"32492550";"3843";"";"";"122064";"2537";"";"No";"No";"No";"432";"179";"33";"29";"";"53";"0";"37";"63";"53";"0";"33";"67";"122.pdf";"DNF_Gruppo-Calt_2019_con-relazionePWC.pdf"
"CAP HOLDING";"Utilities";"360000";"";"Lombardia";"SI";"Altro-EIPR-obbligato";"Report-di-Sostenibilita";"Report-separato";"205";"7";"44";"58";"10";"No";"No";"SI";"No";"Si (2016-2018)";"No";"Si";"Si";"Si";"No";"Si";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"3451";"";"";"";"39581";"902454";"";"260730427";"";"106164";"1";"47";"No";"No";"No";"621";"247";"50";"25";"95";"52";"6";"32";"62";"52";"0";"40";"60";"68.pdf";"CAP_DNF2019.pdf.pdf"
"CAREL INDUSTRIES SPA";"Electronics";"279009";"";"Veneto";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"119";"3";"18";"34";"3";"Si";"No";"Si";"No";"Si (2016-2018)";"Si";"No";"Si";"Si";"Si";"Si";"Core";"UN Global Compact";"UN_GC";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"1786";"3951";"4224";"";"";"65090";"14217";"";"";"";"4";"";"No";"No";"No";"1070";"609";"43";"9";"";"41";"17";"66";"17";"57";"0";"29";"71";"197.pdf";"sostenibilit__-439.pdf"
"CARRARO";"Machine and Plant";"281510";"";"Veneto";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"185";"10";"22";"47";"10";"Si";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"IR Framework";"IR";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"37440";"23285";"15708";"";"20867";"505284";"134204";"";"";"15212";"27";"76";"No";"No";"No";"2273";"282";"33";"8";"89";"41";"18";"63";"19";"58";"0";"11";"89";"31.pdf";"AR Report di Sostenibilita` 2019 IT.pdf"
"CASSA CENTRALE BANCA ";"Banks";"641910";"";"Trentino-Alto Adige";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"147";"6";"8";"38";"6";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"No";"No";"Entrambi";"Si";"No";"No";"No";"Survey";"7534";"";"";"10064";"";"353191";"";"";"";"";"2";"21";"No";"No";"No";"6678";"4603";"27";"21";"";"45";"6";"63";"31";"59";"0";"7";"93";"44.pdf";"Bilancio DNF 2019.pdf"
"CASSA CENTRALE RAIFFEISEN DELL ALTO ADIGE SPA";"Banks";"641910";"";"Trentino-Alto Adige";"SI";"DNF-Volontaria";"DNF";"Report-separato";"126";"8";"13";"25";"4";"No";"No";"Si";"Si";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"96";"129";"";"";"15";"2706";"";"";"";"15";"0";"17";"No";"No";"No";"116";"85";"9";"26";"87";"45";"16";"42";"42";"51";"0";"45";"55";"98.pdf";"DichiarazioneNonFinanziaria Raffstein.pdf"
"CASSA DEPOSITI E PRESTITI";"Financial Services";"641940";"";"Lazio";"SI";"Servizi-Finanziari";"Report-di-Sostenibilita";"Report-separato";"129";"8";"4";"8";"4";"No";"No";"No";"Si";"Si (2016-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey";"802";"";"";"2788";"1906";"27954";"";"";"31987";"";"2";"41";"No";"No";"No";"1166";"1030";"67";"40";"";"46";"10";"55";"35";"56";"0";"22";"78";"71.pdf";"cdp-bilancio-sostenibilita-2019_IT.pdf"
"CASSA DI RISPARMIO DI ASTI";"Banks";"641910";"";"Piemonte";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"89";"4";"6";"38";"6";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Non Specificata";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"No";"Si";"Survey; Workshop Mono-STK";"2284";"2685";"4132";"";"";"65845";"";"";"";"169";"3";"";"No";"No";"No";"793";"1070";"0";"47";"";"46";"10";"53";"37";"58";"0";"11";"89";"113.pdf";"DNF-2019_v-def-23.04-CON-AVVERTENZA.pdf"
"CASSA DI RISPARMIO DI BOLZANO";"Banks";"641910";"";"Trentino-Alto Adige";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"125";"10";"11";"48";"10";"No";"No";"No";"Si";"Si (2016-2018)";"No";"No";"No";"No";"Si";"Si";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"585";"1258";"0";"";"";"22345";"27274";"";"";"41";"1";"23";"No";"No";"No";"621";"644";"11";"29";"90";"44";"12";"57";"31";"53";"0";"33";"67";"13.pdf";"2019-DNF.pdf"
"CEMBRE";"Electronics";"279009";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"44";"4";"8";"20";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"N.R.";"2008";"3242";"4405";"";"";"20571";"31580";"";"";"1959";"7";"47";"No";"No";"No";"538";"182";"38";"11";"";"43";"15";"57";"28";"52";"0";"38";"62";"85.pdf";"Dichiarazione Consolidata Non Finanziaria 2019 - Copy.pdf"
"CEMENTIR HOLDING";"Machine and Plant";"642000";"";"Lazio";"NO";"DNF-Volontaria";"Report-di-Sostenibilita";"Report-separato";"109";"5";"24";"12";"3";"Si";"No";"Si";"No";"Si (2017-2018)";"Si";"Si";"Si";"Si";"No";"Si";"Core";"";"";"Si";"Si";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey";"7161850";"";"";"630114";"";"40370438";"9828243";"";"";"";"2537";"";"No";"No";"No";"2681";"390";"42";"14";"";"45";"8";"60";"32";"48";"0";"58";"42";"72.pdf";"Cementir_Bilancio Sostenibilita` 2019 ITA.pdf"
"CERVED GROUP";"Financial Services";"701000";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"152";"3";"9";"60";"12";"Si";"Si";"Si";"No";"Si (2017-2018)";"No";"Si";"Si";"Si";"Si";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"No";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1710";"1392";"1507";"";"";"43386";"";"";"";"6";"3";"26";"No";"No";"No";"1014";"1586";"36";"33";"67";"43";"10";"70";"20";"55";"0";"27";"73";"73.pdf";"Cerved_Bilancio di Sostenibilit"
"CIR ";"Automotive";"701000";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"105";"7";"17";"41";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"82260";"97748";"120447";"";"";"2898416";"2059000";"";"";"45593";"9";"78";"No";"No";"No";"8286";"8595";"33";"25";"100";"52";"0";"38";"62";"58";"0";"11";"89";"75.pdf";"Cofide_DNF_2019.pdf"
"COFIDE ";"";"";"";"";"SI (Inglobata in CIR SPA)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NULL"
"CLN GROUP SPA";"Steel";"241000";"";"Piemonte";"NO";"DNF-Volontaria";"Report-di-Sostenibilita";"Report-separato";"29";"3";"8";"10";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"No";"Non Specificata";"UN Global Compact";"UN_GC";"No";"No";"No";"Lista";"No";"No";"No";"No";"N.R.";"18539";"";"";"10669";"";"1365113";"542120";"";"";"";"974";"";"No";"No";"No";"6277";"1028";"27";"14";"";"45";"11";"57";"32";"53";"0";"36";"64";"74.pdf";"cln_corporate_social_responsibility_report_2019_signed.pdf"
"CNS";"Services";"812100";"";"Emilia Romagna";"NO";"DNF-Volontaria";"Report-Integrato";"Report-separato";"136";"14";"6";"43";"8";"Si";"No";"Si";"No";"Si (2017-2018)";"No";"No";"No";"No";"Si";"Si";"Core";"IR Framework";"IR";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"140";"";"";"";"";"797";"";"";"";"2";"1";"6";"No";"No";"No";"39";"73";"";"18";"100";"45";"6";"65";"29";"";"";"";"";"60.pdf";"Bilancio_Integrato_CNS_2019.pdf"
"CREDIT AGRICOLE ITALIA SPA";"Banks";"641910";"";"Emilia Romagna";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"117";"10";"12";"58";"1";"No";"No";"Si";"No";"Si (2017-2018)";"No";"Si";"Si";"Si";"No";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"7681";"17301";"0";"";"";"310719";"239";"";"";"1192";"3";"24";"No";"No";"No";"4867";"4884";"";"39";"94";"48";"4";"52";"44";"";"";"";"";"114.pdf";"dnf-ca-0704singola.pdf"
"CREDEM";"Banks";"641910";"";"Emilia Romagna";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"127";"4";"19";"52";"3";"No";"No";"Si";"Si";"Si (2016-2018)";"No";"Si";"Si";"Si";"No";"Si";"Core";"";"";"Si";"Si";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey";"2813";"9774";"908";"";"3315";"159746";"129678";"";"";"682";"495";"22";"No";"No";"No";"4011";"2246";"33";"16";"";"45";"10";"56";"34";"57";"0";"17";"83";"106.pdf";"DNF 2019.pdf"
"CREDITO VALTELLINESE";"Banks";"641910";"";"Lombardia";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"81";"10";"9";"25";"2";"No";"No";"No";"Si";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"2210";"6438";"98";"";"1072";"52796";"";"76825";"";"1803888";"6";"22";"No";"No";"No";"2212";"1422";"47";"26";"90";"46";"4";"62";"34";"";"";"";"";"80.pdf";"DCNF_2019_aprile_2020.pdf"
"CSP INTERNATIONAL FASHION GROUP SPA	";"Textile";"143100";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"87";"5";"13";"16";"3";"No";"No";"No";"Si";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"4761";"";"";"3030";"";"126977";"";"270000";"";"870";"12";"64";"No";"No";"No";"268";"482";"33";"27";"77";"51";"5";"36";"59";"50";"0";"50";"50";"86.pdf";"Dichiarazione consolidata non finanziaria 2019.pdf"
"DANIELI";"Machine and Plant";"289100";"";"Friuli-Venezia Giulia";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"46";"2";"12";"14";"4";"No";"No";"No";"No";"No";"No";"Si";"Si";"No";"Si";"Si";"Non Specificata";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey";"211231";"325879";"416476";"";"";"5584212";"1739916";"";"";"188028";"59";"";"No";"No";"No";"8381";"1140";"43";"17";"";"41";"17";"64";"19";"52";"0";"38";"62";"77.pdf";"DANIELI DNF 2020 Nel Bilancio Consolidato.pdf"
"DATALOGIC";"Electronics";"279009";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"89";"7";"5";"14";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"1003";"7604";"8048";"";"";"71211";"";"";"";"";"3";"";"No";"No";"No";"1904";"1170";"33";"26";"";"42";"19";"56";"25";"56";"0";"22";"78";"117.pdf";"DNF2019_DL_IT.pdf"
