freq,wstatus,age,unit,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,EMP,Y20-64,PC_PNT,SE	5.6 	6.5 	6.0 	5.3 	5.3 	4.8 	4.4 	4.1 	4.4 	4.5 	5.2 	5.3 	5.4 	5.7 	4.7 	4.0 
A,EMP,Y20-64,PC_PNT,SI	7.4 	7.1 	6.7 	6.9 	8.0 	7.8 	8.5 	6.5 	6.9 	7.1 	6.5 	5.9 	6.7 	6.9 	6.1 	6.0 
A,EMP,Y20-64,PC_PNT,SK	11.8 	9.9 	10.5 b	10.9 	9.8 	9.8 	9.9 	9.2 	7.6 	8.5 	7.7 	7.3 	8.5 	8.1 	7.7 	8.9 
A,EMP,Y20-64,PC_PNT,TR	44.6 	44.7 	45.4 	44.1 	43.5 	43.4 b	42.8 	42.3 	41.6 	40.8 	38.8 	38.1 	39.4 b	38.9 	38.5 	38.1 
A,EMP_PT,Y20-64,PC_PNT,AT	-36.8 	-36.7 	-37.4 	-38.1 	-37.4 	-38.1 	-38.4 	-37.7 	-37.7 	-38.0 	-38.7 	-38.2 	-39.3 	-39.7 	-38.6 	-38.9 
A,EMP_PT,Y20-64,PC_PNT,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.7 	0.0 	-0.1 	-0.4 
A,EMP_PT,Y20-64,PC_PNT,BE	-32.2 	-32.5 	-32.9 	-33.3 	-32.6 	-31.6 	-31.0 	-31.4 	-29.9 b	-29.8 	-29.5 	-28.4 	-29.3 	-27.5 	-27.4 	-26.7 
A,EMP_PT,Y20-64,PC_PNT,BG	-0.4 	-0.2 b	-0.1 b	-0.2 	-0.6 	-0.3 	-0.3 	-0.2 	-0.1 	-0.1 	-0.1 b	-0.2 	-0.5 	-0.3 	-0.2 	0.0 b
A,EMP_PT,Y20-64,PC_PNT,CH	: 	-49.9 b	-48.5 	-49.3 	-48.8 	-47.8 	-47.0 	-46.7 	-46.0 	-46.0 	-46.2 	-45.3 	-45.0 	-43.4 	-42.6 	-42.4 
A,EMP_PT,Y20-64,PC_PNT,CY	-7.5 	-6.6 	-6.0 	-6.5 	-7.1 	-6.3 	-5.4 	-4.3 	-6.6 	-6.8 	-8.2 	-6.5 	-4.4 	-4.5 	-5.1 	-5.3 
A,EMP_PT,Y20-64,PC_PNT,CZ	-6.5 	-6.9 	-6.6 b	-6.4 	-7.6 	-7.0 	-7.1 	-7.6 	-8.5 	-8.3 	-7.7 	-7.7 	-7.1 	-7.4 	-8.2 	-9.0 
A,EMP_PT,Y20-64,PC_PNT,DE	-37.0 	-37.4 b	-37.1 b	-36.8 	-38.0 	-37.6 	-37.7 	-37.5 	-37.2 	-37.1 	-37.2 	-37.9 b	-37.3 	-36.6 	-36.9 	-37.2 
A,EMP_PT,Y20-64,PC_PNT,DK	-23.0 	-24.3 	-23.0 	-21.1 	-20.7 	-19.5 	-18.8 	-20.7 b	-19.5 b	-19.5 	-18.3 	-18.0 	-18.2 	-18.5 	-19.0 b	-20.2 
A,EMP_PT,Y20-64,PC_PNT,EA20	-26.2 	-26.3 	-26.3 	-26.5 	-26.8 	-26.5 	-26.4 	-26.1 	-25.9 	-25.8 	-25.6 	-25.3 	-24.8 	-24.3 	-24.2 	-24.0 
A,EMP_PT,Y20-64,PC_PNT,EE	-6.2 	-7.0 	-8.4 	-7.9 	-6.7 	-5.1 	-7.3 	-6.2 	-7.0 	-7.6 	-8.0 	-8.1 	-9.0 	-9.8 	-8.8 	-8.0 
A,EMP_PT,Y20-64,PC_PNT,EL	-7.8 	-7.3 	-6.4 	-7.7 	-7.8 	-7.2 	-7.0 	-7.4 	-8.2 	-7.8 	-8.3 	-8.0 	-7.4 	-7.3 	-7.8 	-7.2 
A,EMP_PT,Y20-64,PC_PNT,ES	-17.6 	-17.5 	-17.0 	-17.4 	-17.5 	-17.8 	-17.3 	-16.5 	-17.0 	-17.2 	-16.9 	-16.3 	-16.0 d	-15.2 d	-14.6 d	-14.8 d
A,EMP_PT,Y20-64,PC_PNT,EU27_2020	-21.9 	-22.2 	-22.2 	-22.3 	-22.6 	-22.2 	-22.0 	-21.9 	-21.7 	-21.5 	-21.4 	-21.0 	-20.6 	-20.2 	-20.1 	-20.1 
A,EMP_PT,Y20-64,PC_PNT,FI	-10.2 	-10.3 	-10.0 	-10.5 	-10.7 	-10.2 	-9.2 	-10.4 	-10.8 	-10.9 	-11.3 	-9.7 	-11.3 	-10.8 	-10.2 	-9.6 
