id_observation,nome,cod_misura,cod_anno,cod_aggr,valore
80,CY_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-11.7
81,CZ_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-3.5
82,DE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-1.4
83,DK_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.7
84,EA20_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-3.2
85,EE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,0.9
86,EL_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-3.8
87,ES_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-5.0
88,EU27_2020_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.9
89,FI_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-8.5
90,FR_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-3.4
91,HR_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.3
92,HU_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,1.1
93,IE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-3.0
94,IS_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.2
95,IT_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-4.2
96,LT_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,1.1
97,LU_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.0
98,LV_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,1.8
99,ME_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,
100,MK_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,2.2
101,MT_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.7
102,NL_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-6.7
103,NO_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-4.1
104,PL_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-1.9
105,PT_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.9
106,RO_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,0.0
107,RS_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,
108,SE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-4.7
109,SI_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-4.3
110,SK_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,0.1
111,TR_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,1.0
112,AT_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-3.8
113,BA_UEMP_PT_Y20-64_A_PC_PNT,4,,1,
114,BE_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-0.5
115,BG_UEMP_PT_Y20-64_A_PC_PNT,4,,1,0.0
116,CH_UEMP_PT_Y20-64_A_PC_PNT,4,,1,
117,CY_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-1.5
118,CZ_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-0.6
119,DE_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-4.2
120,DK_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-1.6
121,EA20_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-4.5
122,EE_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-0.2
123,EL_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-2.7
124,ES_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-6.6
125,EU27_2020_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-3.7
126,FI_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-1.6
127,FR_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-7.9
128,HR_UEMP_PT_Y20-64_A_PC_PNT,4,,1,0.1
129,HU_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-0.5
130,IE_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-2.5
131,IS_UEMP_PT_Y20-64_A_PC_PNT,4,,1,
132,IT_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-2.4
133,LT_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-0.1
134,LU_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-2.7
135,LV_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-0.5
136,ME_UEMP_PT_Y20-64_A_PC_PNT,4,,1,
137,MK_UEMP_PT_Y20-64_A_PC_PNT,4,,1,0.6
138,MT_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-1.4
139,NL_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-3.5
140,NO_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-4.1
141,PL_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-1.0
142,PT_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-3.5
143,RO_UEMP_PT_Y20-64_A_PC_PNT,4,,1,1.0
144,RS_UEMP_PT_Y20-64_A_PC_PNT,4,,1,
145,SE_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-4.6
146,SI_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-0.6
147,SK_UEMP_PT_Y20-64_A_PC_PNT,4,,1,0.0
148,TR_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-0.9
149,AT_EMP_Y20-64_A_PC_PNT,1,,1,10.2
150,BA_EMP_Y20-64_A_PC_PNT,1,,1,
151,BE_EMP_Y20-64_A_PC_PNT,1,,1,11.9
152,BG_EMP_Y20-64_A_PC_PNT,1,,1,7.5
153,CH_EMP_Y20-64_A_PC_PNT,1,,1,12.9
154,CY_EMP_Y20-64_A_PC_PNT,1,,1,12.9
155,CZ_EMP_Y20-64_A_PC_PNT,1,,1,18.7
156,DE_EMP_Y20-64_A_PC_PNT,1,,1,10.5
157,DK_EMP_Y20-64_A_PC_PNT,1,,1,5.7
158,EA20_EMP_Y20-64_A_PC_PNT,1,,1,12.8
159,EE_EMP_Y20-64_A_PC_PNT,1,,1,0.5
160,EL_EMP_Y20-64_A_PC_PNT,1,,1,24.8
161,ES_EMP_Y20-64_A_PC_PNT,1,,1,12.9
162,EU27_2020_EMP_Y20-64_A_PC_PNT,1,,1,12.7
163,FI_EMP_Y20-64_A_PC_PNT,1,,1,3.1
164,FR_EMP_Y20-64_A_PC_PNT,1,,1,7.9
165,HR_EMP_Y20-64_A_PC_PNT,1,,1,11.5
166,HU_EMP_Y20-64_A_PC_PNT,1,,1,6.6
167,IE_EMP_Y20-64_A_PC_PNT,1,,1,9.0
168,IS_EMP_Y20-64_A_PC_PNT,1,,1,5.5
169,IT_EMP_Y20-64_A_PC_PNT,1,,1,22.7
170,LT_EMP_Y20-64_A_PC_PNT,1,,1,-1.5
171,LU_EMP_Y20-64_A_PC_PNT,1,,1,17.2
172,LV_EMP_Y20-64_A_PC_PNT,1,,1,-0.6
173,ME_EMP_Y20-64_A_PC_PNT,1,,1,
174,MK_EMP_Y20-64_A_PC_PNT,1,,1,20.9
175,MT_EMP_Y20-64_A_PC_PNT,1,,1,36.6
176,NL_EMP_Y20-64_A_PC_PNT,1,,1,12.1
177,NO_EMP_Y20-64_A_PC_PNT,1,,1,3.5
178,PL_EMP_Y20-64_A_PC_PNT,1,,1,13.2
179,PT_EMP_Y20-64_A_PC_PNT,1,,1,9.9
180,RO_EMP_Y20-64_A_PC_PNT,1,,1,17.5
181,RS_EMP_Y20-64_A_PC_PNT,1,,1,16.7
182,SE_EMP_Y20-64_A_PC_PNT,1,,1,6.5
183,SI_EMP_Y20-64_A_PC_PNT,1,,1,7.1
184,SK_EMP_Y20-64_A_PC_PNT,1,,1,9.9
185,TR_EMP_Y20-64_A_PC_PNT,1,,1,44.7
186,AT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-36.7
187,BA_EMP_PT_Y20-64_A_PC_PNT,2,,1,
188,BE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-32.5
189,BG_EMP_PT_Y20-64_A_PC_PNT,2,,1,-0.2
190,CH_EMP_PT_Y20-64_A_PC_PNT,2,,1,-49.9
191,CY_EMP_PT_Y20-64_A_PC_PNT,2,,1,-6.6
192,CZ_EMP_PT_Y20-64_A_PC_PNT,2,,1,-6.9
193,DE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-37.4
194,DK_EMP_PT_Y20-64_A_PC_PNT,2,,1,-24.3
195,EA20_EMP_PT_Y20-64_A_PC_PNT,2,,1,-26.3
196,EE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-7.0
197,EL_EMP_PT_Y20-64_A_PC_PNT,2,,1,-7.3
198,ES_EMP_PT_Y20-64_A_PC_PNT,2,,1,-17.5
199,EU27_2020_EMP_PT_Y20-64_A_PC_PNT,2,,1,-22.2
200,FI_EMP_PT_Y20-64_A_PC_PNT,2,,1,-10.3
201,FR_EMP_PT_Y20-64_A_PC_PNT,2,,1,-24.9
202,HR_EMP_PT_Y20-64_A_PC_PNT,2,,1,-4.3
203,HU_EMP_PT_Y20-64_A_PC_PNT,2,,1,-3.5
204,IE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-22.5
205,IS_EMP_PT_Y20-64_A_PC_PNT,2,,1,-23.2
206,IT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-23.3
207,LT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-2.5
208,LU_EMP_PT_Y20-64_A_PC_PNT,2,,1,-32.5
209,LV_EMP_PT_Y20-64_A_PC_PNT,2,,1,-2.6
210,ME_EMP_PT_Y20-64_A_PC_PNT,2,,1,
211,MK_EMP_PT_Y20-64_A_PC_PNT,2,,1,-2.4
212,MT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-19.1
213,NL_EMP_PT_Y20-64_A_PC_PNT,2,,1,-49.3
214,NO_EMP_PT_Y20-64_A_PC_PNT,2,,1,-27.2
215,PL_EMP_PT_Y20-64_A_PC_PNT,2,,1,-6.0
216,PT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-6.2
217,RO_EMP_PT_Y20-64_A_PC_PNT,2,,1,1.2
218,RS_EMP_PT_Y20-64_A_PC_PNT,2,,1,
219,SE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-27.4
220,SI_EMP_PT_Y20-64_A_PC_PNT,2,,1,-6.3
221,SK_EMP_PT_Y20-64_A_PC_PNT,2,,1,-2.0
222,TR_EMP_PT_Y20-64_A_PC_PNT,2,,1,-17.3
223,AT_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-0.2
224,BA_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,
225,BE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.3
226,BG_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,0.4
227,CH_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-0.8
228,CY_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-12.9
229,CZ_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-3.4
230,DE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-1.3
231,DK_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-1.8
232,EA20_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.8
233,EE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,2.0
234,EL_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-3.7
235,ES_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-4.1
236,EU27_2020_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.5
237,FI_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-7.0
238,FR_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.8
239,HR_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.3
240,HU_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,0.8
241,IE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.3
242,IS_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-1.9
243,IT_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-3.8
244,LT_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,1.4
245,LU_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.3
246,LV_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,2.5
247,ME_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,
248,MK_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,2.7
249,MT_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.7
250,NL_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-5.7
251,NO_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-3.8
252,PL_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-1.6
253,PT_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.8
254,RO_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,0.2
255,RS_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,
256,SE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-4.1
257,SI_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-5.5
258,SK_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-0.3
259,TR_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,1.1
260,AT_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-3.0
261,BA_UEMP_PT_Y20-64_A_PC_PNT,4,,1,
262,BE_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-0.5
263,BG_UEMP_PT_Y20-64_A_PC_PNT,4,,1,0.3
264,CH_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-8.2
265,CY_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-1.6
266,CZ_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-0.9
267,DE_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-4.1
268,DK_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-1.8
269,EA20_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-4.5
270,EE_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-1.3
271,EL_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-2.4
272,ES_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-6.9
273,EU27_2020_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-3.7
274,FI_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-1.5
275,FR_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-8.0
276,HR_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-0.1
277,HU_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-0.6
278,IE_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-2.4
279,IS_UEMP_PT_Y20-64_A_PC_PNT,4,,1,
280,IT_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-2.3
281,LT_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-1.2
282,LU_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-2.7
283,LV_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-1.6
284,ME_UEMP_PT_Y20-64_A_PC_PNT,4,,1,
285,MK_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-0.1
286,MT_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-2.0
287,NL_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-3.5
288,NO_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-4.2
289,PL_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-1.2
290,PT_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-3.5
291,RO_UEMP_PT_Y20-64_A_PC_PNT,4,,1,1.4
292,RS_UEMP_PT_Y20-64_A_PC_PNT,4,,1,
293,SE_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-4.5
294,SI_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-1.2
295,SK_UEMP_PT_Y20-64_A_PC_PNT,4,,1,0.1
296,TR_UEMP_PT_Y20-64_A_PC_PNT,4,,1,-1.1
297,AT_EMP_Y20-64_A_PC_PNT,1,,1,10.0
298,BA_EMP_Y20-64_A_PC_PNT,1,,1,
299,BE_EMP_Y20-64_A_PC_PNT,1,,1,11.5
300,BG_EMP_Y20-64_A_PC_PNT,1,,1,5.8
301,CH_EMP_Y20-64_A_PC_PNT,1,,1,12.2
302,CY_EMP_Y20-64_A_PC_PNT,1,,1,11.9
303,CZ_EMP_Y20-64_A_PC_PNT,1,,1,18.2
304,DE_EMP_Y20-64_A_PC_PNT,1,,1,10.3
305,DK_EMP_Y20-64_A_PC_PNT,1,,1,6.9
306,EA20_EMP_Y20-64_A_PC_PNT,1,,1,12.4
307,EE_EMP_Y20-64_A_PC_PNT,1,,1,4.9
308,EL_EMP_Y20-64_A_PC_PNT,1,,1,22.7
309,ES_EMP_Y20-64_A_PC_PNT,1,,1,11.6
310,EU27_2020_EMP_Y20-64_A_PC_PNT,1,,1,12.5
311,FI_EMP_Y20-64_A_PC_PNT,1,,1,3.9
312,FR_EMP_Y20-64_A_PC_PNT,1,,1,8.1
313,HR_EMP_Y20-64_A_PC_PNT,1,,1,12.5
314,HU_EMP_Y20-64_A_PC_PNT,1,,1,7.3
315,IE_EMP_Y20-64_A_PC_PNT,1,,1,8.9
316,IS_EMP_Y20-64_A_PC_PNT,1,,1,5.4
317,IT_EMP_Y20-64_A_PC_PNT,1,,1,22.1
318,LT_EMP_Y20-64_A_PC_PNT,1,,1,0.6
319,LU_EMP_Y20-64_A_PC_PNT,1,,1,16.2
320,LV_EMP_Y20-64_A_PC_PNT,1,,1,2.0
321,ME_EMP_Y20-64_A_PC_PNT,1,,1,12.6
322,MK_EMP_Y20-64_A_PC_PNT,1,,1,19.0
323,MT_EMP_Y20-64_A_PC_PNT,1,,1,35.2
324,NL_EMP_Y20-64_A_PC_PNT,1,,1,11.4
325,NO_EMP_Y20-64_A_PC_PNT,1,,1,3.6
326,PL_EMP_Y20-64_A_PC_PNT,1,,1,13.5
327,PT_EMP_Y20-64_A_PC_PNT,1,,1,8.9
328,RO_EMP_Y20-64_A_PC_PNT,1,,1,16.7
329,RS_EMP_Y20-64_A_PC_PNT,1,,1,17.2
330,SE_EMP_Y20-64_A_PC_PNT,1,,1,6.0
331,SI_EMP_Y20-64_A_PC_PNT,1,,1,6.7
332,SK_EMP_Y20-64_A_PC_PNT,1,,1,10.5
333,TR_EMP_Y20-64_A_PC_PNT,1,,1,45.4
334,AT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-37.4
335,BA_EMP_PT_Y20-64_A_PC_PNT,2,,1,
336,BE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-32.9
337,BG_EMP_PT_Y20-64_A_PC_PNT,2,,1,-0.1
338,CH_EMP_PT_Y20-64_A_PC_PNT,2,,1,-48.5
339,CY_EMP_PT_Y20-64_A_PC_PNT,2,,1,-6.0
340,CZ_EMP_PT_Y20-64_A_PC_PNT,2,,1,-6.6
341,DE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-37.1
342,DK_EMP_PT_Y20-64_A_PC_PNT,2,,1,-23.0
343,EA20_EMP_PT_Y20-64_A_PC_PNT,2,,1,-26.3
344,EE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-8.4
345,EL_EMP_PT_Y20-64_A_PC_PNT,2,,1,-6.4
346,ES_EMP_PT_Y20-64_A_PC_PNT,2,,1,-17.0
347,EU27_2020_EMP_PT_Y20-64_A_PC_PNT,2,,1,-22.2
348,FI_EMP_PT_Y20-64_A_PC_PNT,2,,1,-10.0
