Aziende_nel_Database,N_uomini_dipendenti,N_donne_dipendenti,Donne_nel_CdA_(%),Donne_in_posizioni_manageriali_di_vertice_(%),Disuguaglianza_salariale_di_genere_(%),Eta_media_dipendenti_(%),Dipendenti_con_eta_30_per,Dipendenti_con_eta_30_50_per,Dipendenti_con_eta_50_per,Eta_media_in_CdA_(%),Membri_del_CdA_con_eta_30_per,Membri_del_CdA_con_eta_30_50_per,Membri_del_CdA_con_eta_50_per
"BE SHAPING THE FUTURE SPA (ex BE THINK, SOLVE, EXECUTE SPA/Gruppo Be)",871.0,449.0,,16.0,96.0,40.0,25.0,58.0,17.0,,,,
BEGHELLI,195.0,230.0,33.0,24.0,,48.0,1.0,60.0,39.0,54.0,0.0,33.0,67.0
BENETTON GROUP,1893.0,5478.0,8.0,13.0,90.0,37.0,38.0,51.0,11.0,53.0,0.0,33.0,67.0
BIANCAMANO,1199.0,92.0,40.0,40.0,,,,,,55.0,0.0,25.0,75.0
BIESSE SPA,3418.0,508.0,50.0,13.0,,42.0,16.0,63.0,21.0,55.0,0.0,25.0,75.0
BPER,7721.0,6117.0,47.0,30.0,96.0,48.0,3.0,57.0,40.0,59.0,0.0,7.0,93.0
BREMBO,9075.0,1793.0,36.0,14.0,,39.0,25.0,61.0,14.0,61.0,0.0,0.0,100.0
BRUNELLO CUCINELLI,708.0,1314.0,36.0,38.0,101.0,38.0,22.0,58.0,20.0,50.0,9.0,36.0,55.0
BUZZI UNICEM,8414.0,1427.0,,12.0,,,,,,,,,
CAIRO COMMUNICATION,2208.0,1819.0,,37.0,89.0,,,,,,,,
CALTAGIRONE,432.0,179.0,33.0,29.0,,53.0,0.0,37.0,63.0,53.0,0.0,33.0,67.0
CAP HOLDING,621.0,247.0,50.0,25.0,95.0,52.0,6.0,32.0,62.0,52.0,0.0,40.0,60.0
CAREL INDUSTRIES SPA,1070.0,609.0,43.0,9.0,,41.0,17.0,66.0,17.0,57.0,0.0,29.0,71.0
CARRARO,2273.0,282.0,33.0,8.0,89.0,41.0,18.0,63.0,19.0,58.0,0.0,11.0,89.0
CASSA CENTRALE BANCA ,6678.0,4603.0,27.0,21.0,,45.0,6.0,63.0,31.0,59.0,0.0,7.0,93.0
CASSA CENTRALE RAIFFEISEN DELL ALTO ADIGE SPA,116.0,85.0,9.0,26.0,87.0,45.0,16.0,42.0,42.0,51.0,0.0,45.0,55.0
CASSA DEPOSITI E PRESTITI,1166.0,1030.0,67.0,40.0,,46.0,10.0,55.0,35.0,56.0,0.0,22.0,78.0
CASSA DI RISPARMIO DI ASTI,793.0,1070.0,0.0,47.0,,46.0,10.0,53.0,37.0,58.0,0.0,11.0,89.0
CASSA DI RISPARMIO DI BOLZANO,621.0,644.0,11.0,29.0,90.0,44.0,12.0,57.0,31.0,53.0,0.0,33.0,67.0
CEMBRE,538.0,182.0,38.0,11.0,,43.0,15.0,57.0,28.0,52.0,0.0,38.0,62.0
CEMENTIR HOLDING,2681.0,390.0,42.0,14.0,,45.0,8.0,60.0,32.0,48.0,0.0,58.0,42.0
CERVED GROUP,1014.0,1586.0,36.0,33.0,67.0,43.0,10.0,70.0,20.0,55.0,0.0,27.0,73.0
CIR ,8286.0,8595.0,33.0,25.0,100.0,52.0,0.0,38.0,62.0,58.0,0.0,11.0,89.0
CLN GROUP SPA,6277.0,1028.0,27.0,14.0,,45.0,11.0,57.0,32.0,53.0,0.0,36.0,64.0
CNS,39.0,73.0,,18.0,100.0,45.0,6.0,65.0,29.0,,,,
CREDIT AGRICOLE ITALIA SPA,4867.0,4884.0,,39.0,94.0,48.0,4.0,52.0,44.0,,,,
CREDEM,4011.0,2246.0,33.0,16.0,,45.0,10.0,56.0,34.0,57.0,0.0,17.0,83.0
CREDITO VALTELLINESE,2212.0,1422.0,47.0,26.0,90.0,46.0,4.0,62.0,34.0,,,,
CSP INTERNATIONAL FASHION GROUP SPA	,268.0,482.0,33.0,27.0,77.0,51.0,5.0,36.0,59.0,50.0,0.0,50.0,50.0
DANIELI,8381.0,1140.0,43.0,17.0,,41.0,17.0,64.0,19.0,52.0,0.0,38.0,62.0
DATALOGIC,1904.0,1170.0,33.0,26.0,,42.0,19.0,56.0,25.0,56.0,0.0,22.0,78.0
DAVIDE CAMPARI- MILANO SPA,2279.0,1367.0,33.0,31.0,93.0,43.0,12.0,66.0,22.0,,,,
DECO,100.0,9.0,50.0,0.0,90.0,45.0,10.0,56.0,34.0,50.0,0.0,50.0,50.0
DE LONGHI,3969.0,3881.0,40.0,23.0,,41.0,17.0,64.0,19.0,56.0,0.0,20.0,80.0
DIASORIN,1062.0,877.0,33.0,47.0,90.0,44.0,11.0,62.0,27.0,62.0,0.0,0.0,100.0
DOLOMITI ENERGIA HOLDING SPA        ,1076.0,286.0,33.0,17.0,,47.0,10.0,48.0,42.0,55.0,0.0,25.0,75.0
DO VALUE (ex Do Bank),1052.0,1341.0,22.0,24.0,97.0,43.0,8.0,71.0,21.0,51.0,0.0,44.0,56.0
E.S.TR.A. SPA        ,475.0,286.0,40.0,20.0,91.0,46.0,7.0,58.0,35.0,53.0,0.0,37.0,63.0
EDISON,4527.0,1104.0,33.0,15.0,93.0,40.0,20.0,64.0,16.0,51.0,0.0,44.0,56.0
EI TOWERS,419.0,100.0,10.0,16.0,,54.0,1.0,30.0,69.0,54.0,0.0,20.0,80.0
EL.EN.,1138.0,360.0,33.0,20.0,,39.0,26.0,61.0,13.0,60.0,0.0,0.0,100.0
ELICA,1991.0,1246.0,38.0,12.0,,40.0,25.0,54.0,21.0,58.0,0.0,13.0,87.0
EMAK,1244.0,744.0,38.0,16.0,,43.0,13.0,62.0,25.0,62.0,0.0,15.0,85.0
ENAV,3221.0,828.0,33.0,13.0,,47.0,4.0,57.0,39.0,53.0,0.0,33.0,67.0
ENEL,53933.0,14320.0,33.0,21.0,107.0,45.0,11.0,55.0,34.0,60.0,0.0,0.0,100.0
ENI,23731.0,7590.0,33.0,26.0,,45.0,2.0,74.0,24.0,58.0,0.0,11.0,89.0
ERG,597.0,157.0,33.0,24.0,97.0,44.0,7.0,70.0,23.0,56.0,0.0,8.0,92.0
ESPRINET,596.0,721.0,42.0,23.0,,41.0,15.0,70.0,15.0,55.0,0.0,33.0,67.0
ESSELUNGA,13695.0,10637.0,20.0,10.0,,40.0,19.0,65.0,16.0,,,,
EUKEDOS,117.0,608.0,38.0,67.0,,47.0,5.0,54.0,41.0,55.0,0.0,25.0,75.0
F.I.L.A.,5338.0,4729.0,33.0,,,35.0,50.0,39.0,11.0,57.0,0.0,0.0,100.0
FCA,1132.0,1148.0,20.0,17.0,,44.0,10.0,63.0,27.0,,,,
FERALPI HOLDING SPA,1458.0,112.0,25.0,,86.0,46.0,12.0,48.0,40.0,55.0,0.0,25.0,75.0
FERROVIE DELLO STATO ITALIANE,69109.0,14655.0,43.0,20.0,,36.0,38.0,52.0,10.0,,,,
FIERA MILANO,281.0,365.0,44.0,15.0,,46.0,9.0,53.0,38.0,58.0,0.0,11.0,89.0
FINCANTIERI,19823.0,2609.0,50.0,11.0,85.0,44.0,15.0,56.0,29.0,56.0,0.0,20.0,80.0
FINECO BANK SPA,706.0,519.0,38.0,27.0,100.0,39.0,17.0,71.0,12.0,55.0,0.0,25.0,75.0
FNM,1972.0,305.0,40.0,28.0,,47.0,5.0,57.0,38.0,57.0,0.0,0.0,100.0
GAROFALO HEALTHCARE SPA,300.0,1050.0,55.0,41.0,,45.0,9.0,57.0,34.0,50.0,9.0,36.0,55.0
GEDI,1388.0,833.0,21.0,33.0,87.0,52.0,1.0,39.0,60.0,,,,
GEFRAN,578.0,251.0,33.0,13.0,83.0,43.0,12.0,62.0,26.0,51.0,0.0,44.0,56.0
GEOX,1226.0,3546.0,40.0,30.0,,37.0,27.0,61.0,12.0,52.0,0.0,40.0,60.0
GPI SPA,1903.0,3442.0,14.0,16.0,101.0,42.0,14.0,66.0,20.0,52.0,,,
GRUPPO MUTUIONLINE,657.0,1349.0,33.0,,,,,,,,,,
GUALA CLOSURES SPA,3621.0,1143.0,22.0,18.0,,42.0,19.0,56.0,25.0,,,,
HELVETIA ITALIA,295.0,231.0,,25.0,,47.0,8.0,52.0,40.0,,,,
HERA,6730.0,2441.0,33.0,36.0,95.0,48.0,5.0,48.0,47.0,,,,
I.M.A. INDUSTRIA MACCHINE AUTOMATICHE,5109.0,1050.0,36.0,12.0,,44.0,14.0,56.0,30.0,57.0,0.0,14.0,86.0
IBL BANCA,305.0,425.0,0.0,34.0,97.0,40.0,14.0,75.0,11.0,57.0,0.0,17.0,83.0
ICCREA BANCA SPA        ,12963.0,9201.0,16.0,27.0,93.0,47.0,4.0,60.0,36.0,56.0,0.0,22.0,78.0
IL SOLE 24 ORE SPA,509.0,396.0,36.0,33.0,83.0,49.0,1.0,51.0,48.0,53.0,0.0,36.0,64.0
IMMSI SPA,5186.0,1366.0,27.0,11.0,91.0,42.0,19.0,57.0,24.0,,,,
