id_azienda,nome,cod_ateco,cod_regione
180,SERVIZITALIA,17,3
181,SESA,17,13
182,SIT GROUP SPA,6,16
183,SMAT,22,9
184,SNAITECH,17,7
185,SNAM,22,7
186,SOCIET,8,16
187,SOGEFI,13,7
188,SOL,4,7
189,TEA,22,7
190,TECHEDGE SPA,19,7
191,TECHNOGYM,13,3
192,TERNA,22,5
193,TESMEC,12,7
194,TIM,20,7
195,TINEXTA (ex TECNOINVESTIMENTI),17,5
196,TISCALI,20,11
197,TOD S,13,8
198,TOSCANA AEROPORTI,11,13
199,TPER,11,3
200,TREVI FINANZIARIA INDUSTRIALE SPA,5,3
201,TXT E-SOLUTIONS,16,7
202,UNIONE DI BANCHE ITALIANE SPA,3,7
203,UNICREDIT SPA,3,5
204,UNIEURO SPA,16,3
205,UNIPOL GRUPPO SPA,8,3
206,UNIVERSIT,22,5
207,VERITAS SPA        ,22,16
208,VINCENZO ZUCCHI SPA        ,21,7
209,VITTORIA ASSICURAZIONI SPA,8,7
210,ZIGNAGO VETRO SPA,13,16
